Task_ID,Phase,Area,Task_Title,Description,Acceptance_Criteria,Estimated_Hours,Priority,Dependencies,Owner,Status
MIG-001,Planning,Program,ADR: NestJS + Prisma + PostgreSQL,"Lock stack: NestJS for HTTP/WebSocket APIs, Prisma as ORM and migration tool for PostgreSQL only, target hosting for API and DB. Document versions (Node LTS, Nest, Prisma). Out of scope: MySQL unless separate ADR.",ADR or one-pager committed; team agrees; no ambiguous ORM/DB choice.,4,P0,,,Not_Started
MIG-002,Planning,Security,Secrets and key management,"DATABASE_URL for Prisma (server only), JWT keys, PayPal, SMTP, SMS, S3. Nest ConfigModule + env validation. Never expose DB URL to Vite.",Checklist of secrets; .env.example for API without real values; frontend only VITE_API_URL and public keys.,4,P0,MIG-001,,Not_Started
MIG-003,Planning,Inventory,Inventory Supabase usage in frontend,"List files using supabase client: auth, from(), rpc(), functions.invoke(), storage, realtime channels.","Matrix: file path, call type, replacement Nest route or WS event.",6,P0,,,Not_Started
MIG-004,Planning,Inventory,Inventory Edge Functions and cron,Map each supabase/functions/* to future Nest module (controller + service); note env vars and triggers.,All functions covered; none orphaned.,5,P0,,,Not_Started
MIG-005,Planning,Inventory,"RPCs, SQL functions, and RLS inventory",List supabase.rpc calls and SQL functions in migrations; extract RLS policies per table. Plan Prisma-level authorization (guards) replacing RLS.,RPC matrix with parameters; RLS rules summarized; has_role and other security paths mapped to Nest guards.,10,P1,,,Not_Started
MIG-006,Database,Infrastructure,Provision target PostgreSQL,"Create production-grade Postgres (RDS, Cloud SQL, managed K8s, or self-hosted). Configure backups, TLS, extensions needed by schema (uuid, pgcrypto, etc.), connection limits.",Connection from bastion or CI works with SSL; backup window defined; DATABASE_URL format documented for Prisma.,8,P0,MIG-001,,Not_Started
MIG-007,Database,Schema,Deploy full SQL schema to target,"Replay supabase/migrations in order on empty DB, OR pg_dump --schema-only from Supabase and restore to target. Include public app tables, types, indexes, constraints, SQL functions used by RPCs. Exclude or separately handle Supabase auth/storage extensions if not cloning auth schema.",prisma db execute or psql: no errors; \dt lists expected tables; functions exist for RPC parity plan.,12,P0,MIG-006,,Not_Started
MIG-008,Database,Data,Migrate ALL existing rows (bulk copy),"Full data migration: pg_dump --data-only from Supabase (or provider backup restore), OR logical replication, OR table-ordered COPY with FK checks deferred. Include every business table and large tables (orders, logs, email state). Plan maintenance window or brief read-only on source. After load: run ANALYZE; fix sequences with setval to max(id).",Per-table row count matches source (automated diff); random FK spot-checks pass; sequences produce new IDs without collision.,18,P0,MIG-007,,Not_Started
MIG-009,Database,Data,Post-migration data validation,"Script comparing source Supabase vs target: counts, checksums on critical tables, max timestamps. Document acceptable deltas (e.g. excluded auth schema).",Signed validation report; stakeholders approve before API cutover.,8,P0,MIG-008,,Not_Started
MIG-010,Database,Schema,Dry run on staging clone,Repeat MIG-007–MIG-009 against staging Postgres; rehearse timing and rollback (drop schema / restore snapshot).,Staging holds full schema + representative or full copy; runbook updated with actual durations.,12,P0,MIG-009,,Not_Started
MIG-011,Database,Auth,User identity migration off Supabase Auth,Export or map auth.users to application user table: preserve UUIDs where stores.user_id references them OR one-time relink. Password: export bcrypt hashes if Supabase allows or force password reset. MFA factors: re-enroll in Nest flow.,All active users can authenticate via new Nest auth; FK from stores to user ids valid; documented exceptions.,24,P0,MIG-008,,Not_Started
MIG-012,Database,Storage,Migrate Storage files (store-profiles bucket),Copy objects from Supabase Storage to S3-compatible bucket; preserve paths or update stores.profile_picture_url in bulk. Script with retry and verification.,Object count/size matches or URLs updated and images load from new base URL.,10,P0,MIG-008,,Not_Started
MIG-013,Prisma,Prisma,prisma db pull (introspect target DB),Point DATABASE_URL at migrated Postgres; run prisma db pull to generate models from live schema. Review public schema only; ignore supabase internal schemas unless needed.,schema.prisma generated; prisma validate passes; no accidental drop of tables.,3,P0,MIG-007,,Not_Started
MIG-014,Prisma,Prisma,Hand-tune Prisma schema,"Fix @@map/@map for snake_case, relation names, enums, Json fields, Unsupported types. Add indexes in Prisma if missing. Document views: use prisma.$queryRaw or migrate to tables.",prisma generate succeeds; Prisma Client typings usable in Nest services; team review complete.,14,P0,MIG-013,,Not_Started
MIG-015,Prisma,Prisma,Prisma Migrate baseline for future changes,Brownfield: baseline existing DB — prisma migrate diff or documented initial migration marking current state; from then on use prisma migrate dev/deploy for schema changes only (no drift from manual SQL without Prisma).,CI applies migrations to empty test DB OR migrate deploy is no-op on prod clone; drift detection documented.,8,P1,MIG-014,,Not_Started
MIG-016,Prisma,Prisma,Seed script (optional) for dev,prisma/seed.ts for local dev subset; never required for prod (prod uses real migrated data).,npm run prisma:seed creates minimal dev data for Nest local run.,3,P2,MIG-014,,Not_Started
MIG-020,Backend,NestJS,Bootstrap NestJS project,"nest new or monorepo app; ConfigModule, ValidationPipe, global exception filter, health controller (/health), structured logging (pino), Swagger optional.",GET /health 200; lint/test pipeline green; Dockerfile optional.,6,P0,MIG-001,,Not_Started
MIG-021,Backend,Prisma,PrismaService and Nest integration,"Official pattern: PrismaService extends PrismaClient, onModuleInit connect, onModuleDestroy disconnect; global module or per-request as needed. Unit test with test DB or docker-compose Postgres.",Any module can inject PrismaService; e2e test runs query against test DB; CI runs prisma generate.,5,P0,MIG-014,,Not_Started
MIG-022,Backend,Security,CORS and rate limiting,@nestjs/throttler on auth/OTP; CORS for Vite origins.,Preflight OK; brute-force OTP returns 429 in test.,4,P1,MIG-020,,Not_Started
MIG-023,Backend,NestJS,Feature module layout,"Organize AuthModule, StoresModule, OrdersModule, etc.; each service uses PrismaService; DTOs with class-validator.",Architecture diagram or README; no circular deps.,5,P1,MIG-021,,Not_Started
MIG-030,Auth,Auth,Registration and password login (Prisma users),Nest guards + JWT; bcrypt/argon2; user rows in Postgres via Prisma; map user id to stores.user_id.,"E2E: register, login, JWT valid; Prisma shows user row.",12,P0,MIG-011,,Not_Started
MIG-031,Auth,Auth,Email OTP login and verification,Replace Supabase OTP with Nest endpoints; store OTP in customer_otp_codes or equivalent via Prisma.,"Flows match Login, StoreRegistration, ForgotPassword UX contract.",10,P0,MIG-030,,Not_Started
MIG-032,Auth,Auth,Session refresh and logout,Refresh tokens stored in DB or Redis; Nest endpoints for refresh/logout.,Token rotation works; logout invalidates refresh.,8,P0,MIG-030,,Not_Started
MIG-033,Auth,Auth,Password update and reset,Secure reset tokens in DB (Prisma); update password hashes.,Reset flow E2E; tokens single-use.,8,P0,MIG-031,,Not_Started
MIG-034,Auth,Auth,Admin MFA (replace Supabase MFA),TOTP/WebAuthn in Nest; Prisma for factors if stored.,AdminLogin parity; cannot bypass MFA for admin role.,16,P0,MIG-030,,Not_Started
MIG-035,Auth,Auth,Roles and has_role replacement,Prisma queries to user_roles; RolesGuard on admin controllers.,Non-admin JWT rejected; unit tests on guard.,6,P0,MIG-030,,Not_Started
MIG-036,Auth,Auth,Lovable cloud-auth integration,integrations/lovable/index.ts: pass Nest JWT/session or deprecate.,Documented behavior; no broken dev flow.,3,P2,MIG-032,,Not_Started
MIG-040,Domain_API,Stores,Stores CRUD and generate_store_id,Nest service with Prisma transactions; port generate_store_id logic from SQL or app layer.,Parity with supabase-store and AuthContext store creation.,8,P0,MIG-021,,Not_Started
MIG-041,Domain_API,Stores,check_store_duplicate endpoint,POST; Prisma query matching RPC behavior.,Same duplicate detection as current RPC tests.,3,P0,MIG-040,,Not_Started
MIG-042,Domain_API,Products,Global/store products and portfolio APIs,"Prisma for global_products, store_products, store_portfolios, stock_entries.",Admin CRUD; FK integrity.,12,P0,MIG-040,,Not_Started
MIG-043,Domain_API,Orders,Customer orders and notifications,"Prisma for customer_orders, store_notifications; scoped by store.",EmployeeDashboard operations covered.,12,P0,MIG-040,,Not_Started
MIG-044,Domain_API,Orders,Public order RPCs as REST,"Implement former RPCs via Prisma/raw SQL in service: get_public_store_by_slug, slots, qr products, validate customer, order status.",StoreOrder works against Nest API only.,14,P0,MIG-043,,Not_Started
MIG-045,Domain_API,Settings,Store customers and time slots,"Prisma CRUD for store_customers, store_time_slots.",Settings.tsx parity.,10,P0,MIG-040,,Not_Started
MIG-046,Domain_API,Support,Support tickets and messages,"Prisma for support_tickets, support_messages.",SupportChatbot + AdminSupportPanel parity.,8,P1,MIG-040,,Not_Started
MIG-047,Domain_API,Community,Community chat REST,"Prisma for community_channels, community_messages.",Polling OK until realtime.,5,P1,MIG-040,,Not_Started
MIG-048,Domain_API,Admin,Audit and billing reads,"Prisma for audit_logs, coupons, store_subscriptions, webhook_logs, invoices.",Admin billing and revenue panels load.,10,P1,MIG-035,,Not_Started
MIG-049,Domain_API,Feedback,Feedback API,Prisma feedback table.,AppHeader feedback path works.,3,P2,MIG-021,,Not_Started
MIG-050,Integrations,Email,Transactional email in Nest,Services + queues; Prisma for email logs/state; port Edge templates.,Staging emails send; idempotent queue.,18,P0,MIG-020,,Not_Started
MIG-051,Integrations,Email,Unsubscribe and suppression,Controllers for unsubscribe/suppression; Prisma for tokens/suppressed_emails.,Unsubscribe.tsx points to Nest; secured.,8,P0,MIG-050,,Not_Started
MIG-052,Integrations,OTP,Customer OTP send/verify,Nest + Prisma customer_otp_codes.,Settings customer OTP flow E2E.,8,P0,MIG-045,,Not_Started
MIG-053,Integrations,SMS,Order SMS,Port send-order-sms; call from order status service.,Sandbox SMS or logged success.,6,P1,MIG-043,,Not_Started
MIG-054,Integrations,PayPal,PayPal checkout in Nest,Controller/service; Prisma for subscriptions/invoices; update PayPalCheckout + Settings URLs to Nest.,Sandbox end-to-end; webhooks to Nest.,14,P0,MIG-020,,Not_Started
MIG-055,Integrations,Orders,notify-store-order,Nest service calling email/SMS.,New order notifies store like today.,5,P0,MIG-050,,Not_Started
MIG-056,Integrations,Billing,check-subscriptions cron,@nestjs/schedule or external cron hitting secured endpoint.,Runs on schedule; logs errors.,5,P1,MIG-054,,Not_Started
MIG-057,Integrations,OTP,Registration OTP,"If distinct from general OTP, port to Nest.",StoreRegistration completes.,5,P1,MIG-031,,Not_Started
MIG-060,Realtime,Realtime,WebSocket gateway (Nest),@nestjs/websockets or socket.io; JWT on handshake; event names for orders/notifications/support/community.,Design doc + PoC broadcast.,10,P1,MIG-032,,Not_Started
MIG-061,Realtime,Realtime,Replace Supabase channels in frontend,Connect to Nest WS; remove supabase.channel.,<1s latency staging; reconnect OK.,14,P1,MIG-060,,Not_Started
MIG-070,Storage,Files,Upload API and S3 integration in Nest,Multipart or signed URL; update profile_picture_url via Prisma. Align with MIG-012 migrated objects.,New uploads work post-cutover; public URLs consistent.,8,P0,MIG-020,,Not_Started
MIG-080,Frontend,Client,API client (VITE_API_URL),fetch/axios to Nest; Bearer JWT; no Supabase env in prod.,Single client module; typed errors.,4,P0,MIG-020,,Not_Started
MIG-081,Frontend,Client,Migrate auth pages and AuthContext,Remove supabase.auth; call Nest.,QA auth flows; no supabase in auth files.,14,P0,MIG-030,,Not_Started
MIG-082,Frontend,Client,Replace lib/supabase-store,api/store.ts calling Nest; Prisma-backed routes.,No supabase imports in store module.,6,P0,MIG-040,,Not_Started
MIG-083,Frontend,Client,Migrate Settings and EmployeeDashboard,"Includes PayPal, OTP invokes, uploads to Nest.",Checklist sign-off.,20,P0,MIG-045,,Not_Started
MIG-084,Frontend,Client,Migrate StoreOrder and StoreRegistration,Public flows to Nest.,E2E staging.,10,P0,MIG-044,,Not_Started
MIG-085,Frontend,Client,Migrate admin UI components,"AdminDashboard, panels, analytics, PayPal, chatbot.",No supabase in listed components.,18,P0,MIG-048,,Not_Started
MIG-086,Frontend,Client,Wire ResetPassword route in App.tsx,If product needs /reset-password.,Route works with Nest reset token.,2,P2,MIG-033,,Not_Started
MIG-087,Frontend,Client,Remove @supabase/supabase-js,Delete client wrapper; clean env.,Build passes; grep no supabase.,3,P1,MIG-085,,Not_Started
MIG-090,QA,Testing,API contract tests (Nest + Prisma test DB),Jest + supertest or Pact; prisma migrate reset for CI DB.,"CI green: auth, orders, admin denial.",10,P1,MIG-043,,Not_Started
MIG-091,QA,Testing,E2E against staging,Playwright/Cypress full journeys on Vite + Nest + migrated DB.,Nightly green on staging.,10,P1,MIG-084,,Not_Started
MIG-092,Cutover,Ops,Production cutover runbook,Final incremental data sync if needed (delta after MIG-008); DNS to Nest; VITE_API_URL; freeze Supabase writes; rollback plan.,Runbook approved; dry run completed.,8,P0,MIG-009,,Not_Started
MIG-093,Cutover,Ops,Monitoring and backups,APM on Nest; Postgres backups; Prisma query logging in prod cautiously.,Alerts; restore drill.,6,P0,MIG-092,,Not_Started
MIG-094,Cutover,Ops,Decommission Supabase,After stability; archive backup; revoke keys.,Zero traffic 2+ weeks; costs stopped.,3,P2,MIG-093,,Not_Started
